深度	RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	RM	GS	AM	M
3166.5	0.246	0.218	0.372	0.198	0.485	0.348	0.189	0.488	0.023	0.173	-0.005
3166.625	0.239	0.209	0.378	0.198	0.477	0.351	0.176	0.488	0.023	0.173	-0.005
3166.75	0.24	0.207	0.377	0.203	0.485	0.352	0.181	0.488	0.023	0.173	-0.005
3166.875	0.247	0.21	0.374	0.212	0.503	0.353	0.191	0.488	0.023	0.173	-0.005
3167	0.256	0.217	0.364	0.222	0.521	0.352	0.193	0.488	0.023	0.173	-0.005
3167.125	0.27	0.228	0.352	0.23	0.539	0.352	0.188	0.488	0.023	0.173	-0.005
3167.25	0.289	0.243	0.343	0.234	0.555	0.352	0.185	0.488	0.023	0.173	-0.005
3167.375	0.298	0.251	0.339	0.228	0.562	0.353	0.185	0.488	0.023	0.173	-0.005
3167.5	0.295	0.249	0.341	0.219	0.564	0.354	0.179	0.488	0.023	0.173	-0.005
3167.625	0.277	0.233	0.354	0.211	0.566	0.359	0.169	0.488	0.023	0.173	-0.005
3167.75	0.257	0.215	0.38	0.212	0.564	0.364	0.162	0.488	0.023	0.173	-0.005
3167.875	0.238	0.199	0.409	0.219	0.564	0.37	0.163	0.488	0.023	0.173	-0.005
3168	0.224	0.186	0.428	0.225	0.568	0.375	0.168	0.488	0.023	0.173	-0.005
3168.125	0.22	0.183	0.434	0.228	0.575	0.377	0.174	0.488	0.023	0.173	-0.005
3168.25	0.223	0.186	0.433	0.229	0.589	0.378	0.176	0.488	0.023	0.173	-0.005
3168.375	0.229	0.192	0.428	0.231	0.602	0.377	0.17	0.488	0.023	0.173	-0.005
3168.5	0.238	0.201	0.421	0.228	0.613	0.377	0.157	0.488	0.023	0.173	-0.005
3168.625	0.255	0.217	0.41	0.219	0.623	0.381	0.147	0.488	0.023	0.173	-0.005
3168.75	0.269	0.231	0.403	0.214	0.627	0.386	0.151	0.488	0.023	0.173	-0.005
3168.875	0.284	0.245	0.389	0.215	0.625	0.388	0.164	0.488	0.023	0.173	-0.005
3169	0.301	0.262	0.353	0.216	0.616	0.384	0.174	0.488	0.023	0.173	-0.005
3169.125	0.313	0.274	0.318	0.211	0.605	0.376	0.177	0.488	0.023	0.173	-0.005
3169.25	0.324	0.285	0.302	0.203	0.591	0.369	0.184	0.488	0.023	0.173	-0.005
3169.375	0.337	0.3	0.312	0.194	0.577	0.361	0.193	0.488	0.023	0.173	-0.005
3169.5	0.346	0.309	0.324	0.189	0.571	0.358	0.196	0.488	0.023	0.173	-0.005
3169.625	0.353	0.317	0.339	0.184	0.573	0.356	0.184	0.488	0.023	0.173	-0.005
3169.75	0.358	0.324	0.36	0.179	0.577	0.354	0.168	0.488	0.023	0.173	-0.005
3169.875	0.361	0.328	0.364	0.178	0.586	0.351	0.149	0.488	0.023	0.173	-0.005
3170	0.362	0.33	0.35	0.174	0.596	0.35	0.136	0.488	0.023	0.173	-0.005
3170.125	0.359	0.329	0.328	0.167	0.605	0.35	0.14	0.488	0.023	0.173	-0.005
3170.25	0.351	0.322	0.317	0.156	0.614	0.352	0.158	0.488	0.023	0.173	-0.005
3170.375	0.339	0.311	0.306	0.146	0.623	0.355	0.179	0.488	0.023	0.173	-0.005
3170.5	0.331	0.303	0.287	0.145	0.629	0.358	0.187	0.488	0.023	0.173	-0.005
3170.625	0.338	0.317	0.266	0.149	0.632	0.357	0.183	0.488	0.023	0.173	-0.005
3170.75	0.365	0.349	0.235	0.157	0.638	0.351	0.169	0.488	0.023	0.173	-0.005
3170.875	0.39	0.366	0.216	0.163	0.645	0.343	0.153	0.488	0.023	0.173	-0.005
3171	0.413	0.369	0.189	0.165	0.659	0.334	0.129	0.408	0.042	0.058	-0.083
3171.125	0.447	0.389	0.131	0.165	0.677	0.324	0.1	0.408	0.042	0.058	-0.083
3171.25	0.51	0.442	0.075	0.167	0.705	0.315	0.069	0.408	0.042	0.058	-0.083
