Layer_Index,Top,Bottom,Thickness,Text_Label,Data_Points,Relative_Center_of_Gravity,Variation_Variance_Root,Mean_Median,Mean_Slope,GR_Mean,GR_Std
1,2981.5,2987.8,6.300000000000182,1.0,51,0.45234683629059874,0.019959221439429787,0.1748529411764706,0.06928,0.17570588235294118,0.03442371168514862
2,2987.8,2991.05,3.25,1.0,26,0.5340145985402341,0.013733530821511034,0.15778846153846154,0.04480000000000002,0.1580769230769231,0.020341172867105465
3,2991.05,2993.15,2.099999999999909,1.0,17,0.4966167520824456,0.008037658417554595,0.1843235294117647,0.03,0.18364705882352939,0.007128576926465747
4,2993.15,2994.8,1.650000000000091,1.0,13,0.5055839002270659,0.022102727287630977,0.22607692307692306,0.07533333333333335,0.22615384615384615,0.020137397868131034
5,2994.8,2998.56,3.7599999999997635,1.0,30,0.4949434075972712,0.010772254847740387,0.1838,0.046068965517241406,0.18309999999999998,0.010514593033810993
6,2998.56,3001.95,3.3899999999998727,1.0,27,0.496575464313467,0.01338669521348101,0.1580740740740741,0.044615384615384626,0.16014814814814818,0.012630661411096247
7,3001.95,3004.85,2.900000000000091,1.0,23,0.5178009457257841,0.03708786445638587,0.24545652173913043,0.1327272727272727,0.24491304347826087,0.03763083037995662
8,3004.85,3006.45,1.599999999999909,1.0,13,0.509562841530169,0.01593372957519378,0.23580769230769233,0.04800000000000001,0.23461538461538464,0.014172228865140343
9,3006.45,3008.45,2.0,1.0,16,0.4557092362068943,0.04440634220823524,0.27056250000000004,0.1749333333333333,0.271125,0.049785634223137094
10,3008.45,3009.95,1.5,1.0,12,0.5493861831022183,0.06751364549513178,0.29312499999999997,0.16945454545454544,0.28325,0.06029804446801461
11,3009.95,3012.05,2.100000000000364,1.0,17,0.5752894309639487,0.24615061992119824,0.724735294117647,0.48,0.6884705882352942,0.2401793735687752
12,3166.48,3171.0,4.519999999999982,1.0,37,0.48748309713230104,0.015745479531555293,0.1725,0.07155555555555557,0.17099999999999999,0.016755797705772076
13,3171.0,3171.9,0.900000000000091,1.0,8,0.3818576860399584,0.038569867693285534,0.058125,0.12342857142857144,0.06575,0.03028923075946301
14,3171.9,3174.0,2.099999999999909,1.0,17,0.5559575123152172,0.05748535415556681,0.1476470588235294,0.131,0.14329411764705882,0.053407164870601126
15,3174.0,3175.75,1.75,1.0,15,0.5158541553498383,0.012111149770147699,0.14313333333333333,0.03371428571428571,0.14026666666666668,0.011462790042374304
16,3175.75,3177.5,1.75,1.0,15,0.5468327590770059,0.02495429560700661,0.17633333333333334,0.05257142857142857,0.1796666666666667,0.02759629604775894
17,3177.5,3178.65,1.150000000000091,1.0,10,0.5155247626385567,0.021865925429429264,0.26139999999999997,0.08533333333333329,0.2598,0.0197017765696396
18,3178.65,3182.3,3.650000000000091,1.0,29,0.5113318845081137,0.014108489469837435,0.22156896551724137,0.072,0.22213793103448276,0.01604460192375602
19,3182.3,3185.8,3.5,1.0,28,0.5023809523809177,0.01507510903928897,0.2,0.08474074074074076,0.19999999999999998,0.01576614818436731
20,3185.8,3187.45,1.6499999999996362,1.0,13,0.4986940298510187,0.007954184787627341,0.20707692307692305,0.033999999999999996,0.20615384615384613,0.007241399714315262
21,3187.45,3188.4,0.9500000000002728,1.0,8,0.4886500360958702,0.02500476485204615,0.2223125,0.14171428571428574,0.222625,0.02418128150036718
22,3188.4,3192.85,4.449999999999818,1.0,35,0.5107443765945765,0.017846199968412673,0.19584285714285715,0.05458823529411766,0.19568571428571427,0.018732357686361747
23,3192.85,3194.65,1.800000000000182,1.0,15,0.49295853988223826,0.011940814298888748,0.16753333333333337,0.053142857142857144,0.1690666666666667,0.011715896133980622
24,3194.65,3196.25,1.599999999999909,1.0,13,0.5255298651254634,0.024628113436896425,0.13153846153846155,0.10000000000000002,0.13307692307692306,0.022465226251532487
