Depth	GR2
2976	0.535
2976.125	0.547
2976.25	0.557
2976.375	0.566
2976.5	0.565
2976.625	0.541
2976.75	0.496
2976.875	0.465
2977	0.45
2977.125	0.427
2977.25	0.402
2977.375	0.373
2977.5	0.348
2977.625	0.341
2977.75	0.345
2977.875	0.357
2978	0.369
2978.125	0.372
2978.25	0.361
2978.375	0.342
2978.5	0.315
2978.625	0.293
2978.75	0.269
2978.875	0.242
2979	0.23
2979.125	0.236
2979.25	0.25
2979.375	0.273
2979.5	0.302
2979.625	0.323
2979.75	0.336
2979.875	0.336
2980	0.32
2980.125	0.293
2980.25	0.263
2980.375	0.248
2980.5	0.24
2980.625	0.232
2980.75	0.22
2980.875	0.208
2981	0.209
2981.125	0.23
2981.25	0.266
2981.375	0.288
2981.5	0.283
2981.625	0.255
2981.75	0.226
2981.875	0.218
2982	0.229
2982.125	0.243
2982.25	0.239
2982.375	0.226
2982.5	0.209
2982.625	0.192
2982.75	0.186
2982.875	0.187
2983	0.188
2983.125	0.181
2983.25	0.164
2983.375	0.152
2983.5	0.155
2983.625	0.167
2983.75	0.181
2983.875	0.186
2984	0.184
2984.125	0.18
2984.25	0.18
2984.375	0.187
2984.5	0.193
2984.625	0.19
2984.75	0.174
2984.875	0.158
2985	0.146
2985.125	0.14
2985.25	0.143
2985.375	0.148
2985.5	0.152
2985.625	0.156
2985.75	0.165
2985.875	0.175
2986	0.181
2986.125	0.176
2986.25	0.164
2986.375	0.148
2986.5	0.135
2986.625	0.134
2986.75	0.14
2986.875	0.147
2987	0.15
2987.125	0.151
2987.25	0.153
2987.375	0.152
2987.5	0.143
2987.625	0.131
2987.75	0.118
2987.875	0.112
2988	0.117
2988.125	0.127
2988.25	0.141
2988.375	0.15
2988.5	0.154
2988.625	0.154
2988.75	0.149
2988.875	0.147
2989	0.15
2989.125	0.157
2989.25	0.164
2989.375	0.166
2989.5	0.165
2989.625	0.16
2989.75	0.154
2989.875	0.153
2990	0.158
2990.125	0.165
2990.25	0.164
2990.375	0.162
2990.5	0.17
2990.625	0.187
2990.75	0.198
2990.875	0.196
2991	0.19
2991.125	0.185
2991.25	0.183
2991.375	0.184
2991.5	0.188
2991.625	0.193
2991.75	0.196
2991.875	0.192
2992	0.185
2992.125	0.18
2992.25	0.177
2992.375	0.173
2992.5	0.171
2992.625	0.172
2992.75	0.18
2992.875	0.187
2993	0.189
2993.125	0.187
2993.25	0.187
2993.375	0.198
2993.5	0.215
2993.625	0.233
2993.75	0.248
2993.875	0.253
2994	0.253
2994.125	0.245
2994.25	0.233
2994.375	0.226
2994.5	0.223
2994.625	0.22
2994.75	0.206
2994.875	0.187
2995	0.18
2995.125	0.184
2995.25	0.19
2995.375	0.192
2995.5	0.187
2995.625	0.178
2995.75	0.172
2995.875	0.181
2996	0.195
2996.125	0.198
2996.25	0.189
2996.375	0.181
2996.5	0.185
2996.625	0.191
2996.75	0.192
2996.875	0.194
2997	0.197
2997.125	0.196
2997.25	0.184
2997.375	0.171
2997.5	0.163
2997.625	0.163
2997.75	0.169
2997.875	0.17
2998	0.169
2998.125	0.169
2998.25	0.179
2998.375	0.191
2998.5	0.196
2998.625	0.19
2998.75	0.177
2998.875	0.163
2999	0.15
2999.125	0.143
2999.25	0.142
2999.375	0.146
2999.5	0.15
2999.625	0.151
2999.75	0.151
2999.875	0.156
3000	0.168
3000.125	0.177
3000.25	0.176
3000.375	0.173
3000.5	0.174
3000.625	0.177
3000.75	0.172
3000.875	0.16
3001	0.152
3001.125	0.15
3001.25	0.155
3001.375	0.16
3001.5	0.161
3001.625	0.154
3001.75	0.147
3001.875	0.149
3002	0.159
3002.125	0.176
3002.25	0.192
3002.375	0.213
3002.5	0.246
3002.625	0.273
3002.75	0.292
3002.875	0.301
3003	0.285
3003.125	0.254
3003.25	0.232
3003.375	0.222
3003.5	0.22
3003.625	0.227
3003.75	0.243
3003.875	0.268
3004	0.286
3004.125	0.291
3004.25	0.283
3004.375	0.268
3004.5	0.25
3004.625	0.232
3004.75	0.22
3004.875	0.211
3005	0.212
3005.125	0.219
3005.25	0.23
3005.375	0.238
3005.5	0.243
3005.625	0.249
3005.75	0.254
3005.875	0.253
3006	0.248
3006.125	0.237
3006.25	0.227
3006.375	0.229
3006.5	0.257
3006.625	0.314
3006.75	0.357
3006.875	0.36
3007	0.323
3007.125	0.281
3007.25	0.26
3007.375	0.262
3007.5	0.278
3007.625	0.287
3007.75	0.284
3007.875	0.259
3008	0.225
3008.125	0.205
3008.25	0.197
3008.375	0.189
3008.5	0.183
3008.625	0.185
3008.75	0.207
3008.875	0.243
3009	0.292
3009.125	0.343
3009.25	0.359
3009.375	0.345
3009.5	0.325
3009.625	0.311
3009.75	0.304
3009.875	0.302
3010	0.296
3010.125	0.296
3010.25	0.311
3010.375	0.368
3010.5	0.488
3010.625	0.611
3010.75	0.761
3010.875	0.907
3011	0.987
3011.125	0.999
3011.25	0.95
3011.375	0.886
3011.5	0.813
3011.625	0.774
3011.75	0.761
3011.875	0.754
3012	0.742
3012.125	0.714
3012.25	0.668
3012.375	0.624
3012.5	0.553
3012.625	0.473
3012.75	0.404
3012.875	0.33
3013	0.287
3013.125	0.26
3013.25	0.251
3013.375	0.265
3013.5	0.288
3013.625	0.302
3013.75	0.296
3013.875	0.274
3014	0.253
3014.125	0.248
3014.25	0.261
3014.375	0.28
3014.5	0.296
3014.625	0.303
3014.75	0.297
3014.875	0.285
3015	0.26
3015.125	0.23
3015.25	0.188
3015.375	0.143
3015.5	0.122
3015.625	0.116
3015.75	0.113
3015.875	0.113
3016	0.12
3016.125	0.132
3016.25	0.146
3016.375	0.159
3016.5	0.162
3016.625	0.157
3016.75	0.142
3016.875	0.127
3017	0.124
3017.125	0.133
3017.25	0.168
3017.375	0.225
3017.5	0.266
3017.625	0.285
3017.75	0.294
3017.875	0.296
3018	0.312
3018.125	0.349
3018.25	0.383
3018.375	0.406
3018.5	0.416
3018.625	0.412
3018.75	0.416
3018.875	0.427
3019	0.442
3019.125	0.451
3019.25	0.447
3019.375	0.431
3019.5	0.406
3019.625	0.389
3019.75	0.381
3019.875	0.377
3020	0.376
3020.125	0.374
3020.25	0.372
3020.375	0.374
