RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.342	0.337	0.301	0.217	0.769	0.496	0.156	0.45417965	0.037835086	0.174852941	-0.015457738	5
0.362	0.355	0.335	0.232	0.773	0.571	0.175	0.45417965	0.037835086	0.174852941	-0.015457738	4
0.406	0.399	0.344	0.181	0.759	0.526	0.134	0.45417965	0.037835086	0.174852941	-0.015457738	6
0.416	0.419	0.267	0.148	0.739	0.414	0.151	0.45417965	0.037835086	0.174852941	-0.015457738	6
0.44	0.444	0.241	0.127	0.737	0.388	0.152	0.45417965	0.037835086	0.174852941	-0.015457738	6
0.458	0.462	0.215	0.12	0.75	0.378	0.118	0.45417965	0.037835086	0.174852941	-0.015457738	5
0.454	0.458	0.212	0.115	0.742	0.376	0.112	0.531494999	0.022819527	0.157788462	0.019117949	6
0.406	0.41	0.249	0.116	0.726	0.327	0.15	0.531494999	0.022819527	0.157788462	0.019117949	5
0.391	0.395	0.263	0.117	0.76	0.277	0.149	0.531494999	0.022819527	0.157788462	0.019117949	6
0.401	0.405	0.262	0.118	0.775	0.283	0.147	0.531494999	0.022819527	0.157788462	0.019117949	6
0.434	0.434	0.27	0.132	0.796	0.298	0.164	0.531494999	0.022819527	0.157788462	0.019117949	4
0.434	0.433	0.277	0.137	0.8	0.297	0.165	0.531494999	0.022819527	0.157788462	0.019117949	5
0.423	0.423	0.279	0.136	0.796	0.298	0.16	0.531494999	0.022819527	0.157788462	0.019117949	6
0.398	0.396	0.251	0.137	0.787	0.293	0.158	0.531494999	0.022819527	0.157788462	0.019117949	5
0.384	0.378	0.246	0.127	0.78	0.29	0.164	0.531494999	0.022819527	0.157788462	0.019117949	5
0.36	0.352	0.261	0.116	0.768	0.288	0.17	0.531494999	0.022819527	0.157788462	0.019117949	5
0.347	0.336	0.306	0.122	0.773	0.286	0.183	0.496992669	0.009619422	0.184323529	-0.003313725	5
0.359	0.349	0.299	0.106	0.789	0.284	0.188	0.496992669	0.009619422	0.184323529	-0.003313725	4
0.4	0.393	0.28	0.096	0.795	0.283	0.192	0.496992669	0.009619422	0.184323529	-0.003313725	4
0.438	0.432	0.27	0.099	0.791	0.286	0.185	0.496992669	0.009619422	0.184323529	-0.003313725	5
0.515	0.517	0.24	0.066	0.787	0.288	0.173	0.496992669	0.009619422	0.184323529	-0.003313725	5
0.508	0.515	0.239	0.049	0.784	0.287	0.171	0.496992669	0.009619422	0.184323529	-0.003313725	5
0.48	0.491	0.257	0.044	0.778	0.289	0.172	0.496992669	0.009619422	0.184323529	-0.003313725	5
0.339	0.357	0.317	0.078	0.757	0.285	0.189	0.496992669	0.009619422	0.184323529	-0.003313725	3
0.311	0.326	0.327	0.105	0.744	0.273	0.187	0.5047862	0.026136074	0.226076923	0.008659341	4
0.337	0.348	0.292	0.1	0.735	0.282	0.215	0.5047862	0.026136074	0.226076923	0.008659341	4
0.368	0.375	0.273	0.097	0.739	0.288	0.248	0.5047862	0.026136074	0.226076923	0.008659341	5
0.377	0.383	0.261	0.098	0.748	0.288	0.253	0.5047862	0.026136074	0.226076923	0.008659341	5
0.379	0.385	0.26	0.098	0.757	0.289	0.253	0.5047862	0.026136074	0.226076923	0.008659341	5
0.366	0.377	0.282	0.105	0.766	0.29	0.233	0.5047862	0.026136074	0.226076923	0.008659341	5
0.294	0.322	0.346	0.112	0.771	0.293	0.187	0.495269639	0.01450794	0.1838	-0.002867186	5
0.307	0.343	0.298	0.111	0.769	0.288	0.172	0.495269639	0.01450794	0.1838	-0.002867186	5
0.306	0.346	0.259	0.109	0.755	0.28	0.195	0.495269639	0.01450794	0.1838	-0.002867186	5
0.288	0.333	0.285	0.117	0.739	0.275	0.181	0.495269639	0.01450794	0.1838	-0.002867186	6
0.283	0.329	0.293	0.117	0.732	0.282	0.185	0.495269639	0.01450794	0.1838	-0.002867186	6
0.268	0.314	0.295	0.114	0.717	0.271	0.194	0.495269639	0.01450794	0.1838	-0.002867186	6
0.25	0.293	0.287	0.1	0.742	0.225	0.184	0.495269639	0.01450794	0.1838	-0.002867186	6
0.247	0.288	0.288	0.1	0.751	0.218	0.171	0.495269639	0.01450794	0.1838	-0.002867186	6
0.235	0.274	0.292	0.1	0.775	0.191	0.169	0.495269639	0.01450794	0.1838	-0.002867186	6
0.214	0.252	0.286	0.097	0.798	0.18	0.169	0.495269639	0.01450794	0.1838	-0.002867186	6
0.209	0.247	0.285	0.101	0.802	0.18	0.179	0.495269639	0.01450794	0.1838	-0.002867186	6
0.203	0.241	0.282	0.099	0.807	0.185	0.196	0.495269639	0.01450794	0.1838	-0.002867186	5
0.213	0.249	0.262	0.093	0.791	0.214	0.15	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.216	0.253	0.264	0.099	0.784	0.222	0.142	0.496820074	0.016294517	0.158074074	-0.001880342	5
0.216	0.253	0.268	0.099	0.78	0.223	0.146	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.214	0.25	0.259	0.097	0.784	0.211	0.151	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.212	0.247	0.258	0.099	0.787	0.201	0.156	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.205	0.24	0.28	0.092	0.798	0.177	0.176	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.206	0.24	0.285	0.093	0.802	0.177	0.173	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.218	0.245	0.268	0.104	0.784	0.197	0.16	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.217	0.238	0.271	0.098	0.782	0.198	0.15	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.215	0.235	0.274	0.099	0.789	0.197	0.155	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.209	0.228	0.277	0.103	0.811	0.19	0.161	0.496820074	0.016294517	0.158074074	-0.001880342	6
0.231	0.251	0.277	0.098	0.804	0.181	0.176	0.516317534	0.047080092	0.245456522	0.017438735	1
0.282	0.299	0.229	0.106	0.784	0.242	0.246	0.516317534	0.047080092	0.245456522	0.017438735	5
0.487	0.487	0.167	0.1	0.764	0.308	0.22	0.516317534	0.047080092	0.245456522	0.017438735	7
0.462	0.462	0.172	0.101	0.766	0.325	0.227	0.516317534	0.047080092	0.245456522	0.017438735	6
0.46	0.441	0.2	0.102	0.766	0.313	0.291	0.516317534	0.047080092	0.245456522	0.017438735	4
0.466	0.444	0.202	0.108	0.764	0.305	0.283	0.516317534	0.047080092	0.245456522	0.017438735	4
0.444	0.42	0.221	0.108	0.762	0.301	0.25	0.516317534	0.047080092	0.245456522	0.017438735	4
0.351	0.32	0.263	0.096	0.768	0.31	0.212	0.508196721	0.017730404	0.235807692	0.015384615	4
0.346	0.314	0.269	0.09	0.771	0.318	0.219	0.508196721	0.017730404	0.235807692	0.015384615	5
0.351	0.313	0.275	0.083	0.775	0.332	0.238	0.508196721	0.017730404	0.235807692	0.015384615	4
0.41	0.363	0.258	0.103	0.771	0.33	0.254	0.508196721	0.017730404	0.235807692	0.015384615	5
0.441	0.39	0.255	0.106	0.771	0.326	0.248	0.508196721	0.017730404	0.235807692	0.015384615	6
0.441	0.391	0.252	0.103	0.775	0.325	0.227	0.508196721	0.017730404	0.235807692	0.015384615	6
0.428	0.381	0.222	0.095	0.778	0.326	0.257	0.460919914	0.063536846	0.2705625	-0.067811765	6
0.479	0.438	0.185	0.097	0.78	0.323	0.36	0.460919914	0.063536846	0.2705625	-0.067811765	5
0.569	0.534	0.16	0.098	0.78	0.365	0.281	0.460919914	0.063536846	0.2705625	-0.067811765	6
0.633	0.592	0.151	0.103	0.773	0.595	0.262	0.460919914	0.063536846	0.2705625	-0.067811765	6
0.621	0.567	0.16	0.116	0.755	0.633	0.284	0.460919914	0.063536846	0.2705625	-0.067811765	7
0.535	0.478	0.196	0.145	0.681	0.527	0.225	0.460919914	0.063536846	0.2705625	-0.067811765	6
0.487	0.429	0.224	0.155	0.636	0.516	0.205	0.460919914	0.063536846	0.2705625	-0.067811765	7
0.34	0.29	0.283	0.127	0.55	0.545	0.183	0.541788309	0.073613546	0.293125	0.103300699	7
0.326	0.272	0.292	0.122	0.541	0.547	0.185	0.541788309	0.073613546	0.293125	0.103300699	6
0.323	0.264	0.264	0.124	0.523	0.543	0.243	0.541788309	0.073613546	0.293125	0.103300699	7
0.41	0.338	0.171	0.16	0.515	0.512	0.359	0.541788309	0.073613546	0.293125	0.103300699	7
0.494	0.415	0.123	0.157	0.532	0.471	0.325	0.541788309	0.073613546	0.293125	0.103300699	6
0.524	0.443	0.118	0.155	0.544	0.456	0.311	0.541788309	0.073613546	0.293125	0.103300699	6
0.547	0.468	0.11	0.152	0.564	0.441	0.304	0.541788309	0.073613546	0.293125	0.103300699	7
0.555	0.48	0.096	0.149	0.582	0.434	0.302	0.541788309	0.073613546	0.293125	0.103300699	7
0.555	0.493	0.095	0.13	0.618	0.432	0.311	0.566923939	0.270060298	0.724735294	0.27645098	6
0.521	0.466	0.124	0.126	0.636	0.435	0.488	0.566923939	0.270060298	0.724735294	0.27645098	7
0.502	0.449	0.197	0.126	0.647	0.415	0.761	0.566923939	0.270060298	0.724735294	0.27645098	7
0.301	0.262	0.353	0.216	0.616	0.384	0.174	0.488141881	0.022785012	0.1725	-0.005407302	5
0.353	0.317	0.339	0.184	0.573	0.356	0.184	0.488141881	0.022785012	0.1725	-0.005407302	5
0.358	0.324	0.36	0.179	0.577	0.354	0.168	0.488141881	0.022785012	0.1725	-0.005407302	5
0.362	0.33	0.35	0.174	0.596	0.35	0.136	0.488141881	0.022785012	0.1725	-0.005407302	5
0.351	0.322	0.317	0.156	0.614	0.352	0.158	0.488141881	0.022785012	0.1725	-0.005407302	4
0.339	0.311	0.306	0.146	0.623	0.355	0.179	0.488141881	0.022785012	0.1725	-0.005407302	5
0.338	0.317	0.266	0.149	0.632	0.357	0.183	0.488141881	0.022785012	0.1725	-0.005407302	5
0.413	0.369	0.189	0.165	0.659	0.334	0.129	0.408111534	0.04226993	0.058125	-0.082857143	7
0.447	0.389	0.131	0.165	0.677	0.324	0.1	0.408111534	0.04226993	0.058125	-0.082857143	7
0.57	0.493	0.032	0.161	0.744	0.305	0.042	0.408111534	0.04226993	0.058125	-0.082857143	7
0.55	0.477	0	0.094	0.796	0.301	0.047	0.408111534	0.04226993	0.058125	-0.082857143	7
0.421	0.372	0.028	0.012	0.825	0.312	0.049	0.408111534	0.04226993	0.058125	-0.082857143	7
0.397	0.354	0.088	0.001	0.823	0.319	0.047	0.549740011	0.061381867	0.147647059	0.042764706	5
0.324	0.305	0.226	0.008	0.787	0.332	0.067	0.549740011	0.061381867	0.147647059	0.042764706	5
0.289	0.268	0.271	0.026	0.764	0.334	0.087	0.549740011	0.061381867	0.147647059	0.042764706	5
0.249	0.213	0.39	0.088	0.721	0.336	0.152	0.549740011	0.061381867	0.147647059	0.042764706	5
0.281	0.234	0.377	0.196	0.686	0.34	0.193	0.549740011	0.061381867	0.147647059	0.042764706	5
0.286	0.238	0.366	0.199	0.683	0.34	0.189	0.549740011	0.061381867	0.147647059	0.042764706	5
0.297	0.256	0.405	0.176	0.647	0.328	0.12	0.513872386	0.013931443	0.143133333	0.013342857	5
0.304	0.266	0.404	0.137	0.634	0.329	0.131	0.513872386	0.013931443	0.143133333	0.013342857	5
0.307	0.27	0.396	0.131	0.636	0.333	0.14	0.513872386	0.013931443	0.143133333	0.013342857	5
0.309	0.273	0.38	0.131	0.64	0.337	0.147	0.513872386	0.013931443	0.143133333	0.013342857	5
0.263	0.234	0.417	0.124	0.652	0.333	0.146	0.513872386	0.013931443	0.143133333	0.013342857	4
0.261	0.232	0.417	0.125	0.656	0.331	0.137	0.513872386	0.013931443	0.143133333	0.013342857	4
0.259	0.231	0.413	0.136	0.661	0.338	0.142	0.540978664	0.029829471	0.176333333	0.050485714	3
0.259	0.231	0.399	0.14	0.667	0.348	0.159	0.540978664	0.029829471	0.176333333	0.050485714	4
0.256	0.234	0.386	0.188	0.694	0.334	0.214	0.540978664	0.029829471	0.176333333	0.050485714	5
0.252	0.231	0.385	0.183	0.692	0.337	0.224	0.540978664	0.029829471	0.176333333	0.050485714	5
0.246	0.225	0.38	0.175	0.694	0.341	0.244	0.512702079	0.026262701	0.2614	0.0352	5
0.24	0.22	0.38	0.173	0.703	0.344	0.27	0.512702079	0.026262701	0.2614	0.0352	4
0.246	0.222	0.384	0.223	0.712	0.341	0.27	0.512702079	0.026262701	0.2614	0.0352	4
0.242	0.219	0.395	0.211	0.708	0.344	0.224	0.510576426	0.0221671	0.221568966	0.008055172	4
0.24	0.217	0.398	0.207	0.706	0.347	0.21	0.510576426	0.0221671	0.221568966	0.008055172	3
0.243	0.221	0.394	0.231	0.697	0.351	0.196	0.510576426	0.0221671	0.221568966	0.008055172	4
0.255	0.231	0.39	0.236	0.681	0.348	0.223	0.510576426	0.0221671	0.221568966	0.008055172	4
0.259	0.235	0.385	0.226	0.676	0.347	0.236	0.510576426	0.0221671	0.221568966	0.008055172	4
0.266	0.242	0.379	0.214	0.686	0.348	0.228	0.510576426	0.0221671	0.221568966	0.008055172	4
0.267	0.242	0.378	0.209	0.701	0.345	0.203	0.510576426	0.0221671	0.221568966	0.008055172	4
0.262	0.236	0.375	0.199	0.706	0.344	0.202	0.510576426	0.0221671	0.221568966	0.008055172	6
0.254	0.23	0.374	0.198	0.699	0.344	0.231	0.510576426	0.0221671	0.221568966	0.008055172	3
0.254	0.233	0.375	0.193	0.695	0.334	0.216	0.510576426	0.0221671	0.221568966	0.008055172	5
0.27	0.249	0.347	0.2	0.688	0.332	0.219	0.510576426	0.0221671	0.221568966	0.008055172	3
0.275	0.254	0.355	0.193	0.701	0.338	0.225	0.510576426	0.0221671	0.221568966	0.008055172	4
