深度	POR	标签
3166.5	7.306	5
3166.625	7.239	5
3166.75	7.295	5
3166.875	6.91	5
3167	7.597	5
3167.125	8.207	5
3167.25	8.244	5
3167.375	8.244	5
3167.5	8.226	5
3167.625	8.512	5
3167.75	8.095	5
3167.875	8.659	5
3168	8.818	5
3168.125	8.738	5
3168.25	8.692	5
3168.375	8.679	5
3168.5	8.698	5
3168.625	8.613	5
3168.75	8.587	5
3168.875	8.307	5
3169	8.224	5
3169.125	8.491	5
3169.25	8.021	5
3169.375	7.145	5
3169.5	8.006	5
3169.625	8.209	5
3169.75	7.807	5
3169.875	7.118	5
3170	8.162	5
3170.125	8.362	5
3170.25	8.016	4
3170.375	8.18	5
3170.5	8.098	5
3170.625	8.036	5
3170.75	6.731	5
3170.875	6.103	5
3171	4.601	7
3171.125	3.229	7
3171.25	2.82	7
3171.375	2.241	7
3171.5	2.13	7
3171.625	2.307	7
3171.75	3.276	7
3171.875	3.269	7
3172	5.425	5
3172.125	6.404	5
3172.25	6.484	5
3172.375	7.646	5
3172.5	8.11	5
3172.625	8.75	5
3172.75	9.062	5
3172.875	9.048	5
3173	9.086	5
3173.125	8.823	5
3173.25	8.029	5
3173.375	8.097	5
3173.5	8.427	5
3173.625	8.437	5
3173.75	8.52	5
3173.875	7.768	4
3174	8.933	5
3174.125	9.179	5
3174.25	8.786	5
3174.375	8.505	5
3174.5	8.592	5
3174.625	8.199	5
3174.75	7.836	5
3174.875	7.838	5
3175	7.854	5
3175.125	8.409	5
3175.25	8.887	5
3175.375	9.015	4
3175.5	8.936	4
3175.625	9.01	4
3175.75	9.029	3
3175.875	9.283	3
3176	9.233	4
3176.125	9.22	4
3176.25	9.002	4
3176.375	7.211	4
3176.5	8.092	3
3176.625	8.536	5
3176.75	8.544	5
3176.875	8.093	5
3177	8.5	5
3177.125	8.947	5
3177.25	9.361	5
3177.375	8.877	5
3177.5	8.559	4
3177.625	8.663	4
3177.75	8.83	4
3177.875	8.621	4
3178	8.622	4
3178.125	8.571	4
3178.25	8.481	4
3178.375	8.583	4
3178.5	8.556	4
3178.625	8.338	4
3178.75	8.157	4
3178.875	8.589	3
3179	8.457	3
3179.125	8.157	4
3179.25	8.25	4
3179.375	8.405	4
3179.5	8.768	4
3179.625	8.612	4
3179.75	8.514	4
3179.875	8.525	4
3180	8.305	4
3180.125	7.639	4
3180.25	5.648	6
3180.375	8.036	4
3180.5	7.623	3
3180.625	6.455	3
3180.75	7.993	3
3180.875	6.382	5
3181	8.156	3
3181.125	8.389	3
3181.25	8.512	3
3181.375	8.525	3
3181.5	8.409	4
3181.625	8.053	4
3181.75	8.589	5
3181.875	8.204	3
3182	8.052	3
3182.125	7.05	3
3182.25	7.849	3
3182.375	8.184	5
3182.5	8.279	5
3182.625	8.359	5
3182.75	8.294	4
3182.875	8.32	4
3183	8.469	5
3183.125	8.447	5
3183.25	7.984	5
3183.375	7.859	6
3183.5	8.127	6
3183.625	8.55	5
3183.75	8.299	5
3183.875	8.343	5
3184	7.909	5
3184.125	8.005	5
3184.25	8.21	5
3184.375	8.388	5
3184.5	8.644	5
3184.625	7.177	5
3184.75	7.978	5
3184.875	8.398	5
3185	8.012	5
3185.125	8.303	5
3185.25	8.111	5
3185.375	8.017	5
3185.5	7.337	7
3185.625	8.351	5
3185.75	8.114	5
3185.875	8.666	5
3186	8.333	5
3186.125	8.596	5
3186.25	8.29	5
3186.375	6.219	5
3186.5	7.355	5
3186.625	6.68	5
3186.75	7.759	5
3186.875	6.462	6
3187	7.311	6
3187.125	8.371	5
3187.25	7.725	5
3187.375	8.012	5
3187.5	8.092	5
3187.625	8.166	5
3187.75	8.127	5
3187.875	8.113	5
3188	8.441	5
3188.125	8.679	5
3188.25	8.563	5
3188.375	8.546	5
3188.5	8.144	5
3188.625	6.285	5
3188.75	8.826	5
3188.875	8.598	5
3189	8.79	5
3189.125	8.739	5
3189.25	8.909	5
3189.375	8.437	5
3189.5	8.621	5
3189.625	8.646	5
3189.75	8.678	5
3189.875	8.663	5
3190	8.767	5
3190.125	8.804	5
3190.25	8.894	5
3190.375	8.844	5
3190.5	8.921	5
3190.625	9.135	5
3190.75	8.164	7
3190.875	8.033	6
3191	7.807	6
3191.125	8.156	6
3191.25	7.964	6
3191.375	7.305	7
3191.5	8.086	5
3191.625	8.776	5
3191.75	8.796	5
3191.875	8.76	5
3192	8.671	5
3192.125	8.644	5
3192.25	7.964	5
3192.375	7.438	6
3192.5	6.974	5
3192.625	7.157	5
3192.75	8.309	5
3192.875	8.229	5
3193	7.248	5
3193.125	6.993	6
3193.25	5.955	6
3193.375	6.674	7
3193.5	7.275	7
3193.625	7.995	7
3193.75	8.137	7
3193.875	7.964	7
3194	7.745	7
3194.125	8.888	7
3194.25	9.138	5
3194.375	9.259	5
3194.5	8.851	5
3194.625	8.61	5
3194.75	6.961	7
3194.875	8.116	7
3195	7.919	6
3195.125	7.742	6
3195.25	8.087	6
3195.375	7.933	7
3195.5	7.704	7
3195.625	7.886	7
3195.75	6.418	7
3195.875	6.115	7
3196	5.7	6
3196.125	6.239	7
3196.25	6.046	4
