_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
95.439	29.257	65.527	9.588	2.427	11.399	26.573
93.692	28.052	65.722	9.594	2.423	11.403	25.771
94.406	27.88	65.714	9.598	2.427	11.563	25.905
95.822	28.27	65.592	9.601	2.437	11.89	26.663
96.137	29.053	65.289	9.599	2.447	12.217	27.673
95.431	30.544	64.921	9.598	2.457	12.517	29.29
94.957	32.696	64.62	9.598	2.466	12.632	31.52
94.895	33.944	64.506	9.6	2.47	12.457	32.774
94.103	33.529	64.581	9.605	2.471	12.115	32.347
92.598	31.303	64.979	9.618	2.472	11.851	30.135
91.674	28.842	65.788	9.633	2.471	11.887	27.713
91.853	26.821	66.698	9.649	2.471	12.128	25.732
92.518	25.358	67.311	9.663	2.473	12.352	24.293
93.436	25.041	67.499	9.669	2.477	12.428	23.944
93.69	25.377	67.459	9.671	2.485	12.491	24.188
92.797	26.053	67.3	9.668	2.492	12.546	24.77
90.928	27.144	67.07	9.669	2.498	12.442	25.746
89.585	29.105	66.745	9.681	2.504	12.144	27.497
90.118	30.966	66.529	9.694	2.506	11.949	29.137
91.871	33.032	66.065	9.699	2.505	12.008	30.922
93.403	35.653	64.96	9.688	2.5	12.011	33.155
93.864	37.531	63.843	9.667	2.494	11.844	34.724
94.776	39.508	63.331	9.645	2.486	11.571	36.315
96.145	42.136	63.671	9.625	2.478	11.279	38.37
96.49	43.972	64.048	9.616	2.475	11.102	39.76
94.859	45.48	64.5	9.61	2.476	10.91	40.816
92.477	46.84	65.171	9.603	2.478	10.746	41.717
89.818	47.763	65.277	9.596	2.483	10.709	42.23
87.937	48.257	64.855	9.592	2.489	10.583	42.346
88.45	47.941	64.173	9.592	2.494	10.331	41.901
91.081	46.595	63.802	9.597	2.499	9.94	40.634
94.13	44.263	63.478	9.607	2.504	9.601	38.592
95.261	42.696	62.862	9.614	2.507	9.555	37.407
94.673	45.432	62.207	9.611	2.509	9.7	38.504
92.705	52.545	61.241	9.594	2.512	9.974	42.885
90.382	56.536	60.635	9.572	2.516	10.194	47.406
86.881	57.505	59.782	9.546	2.524	10.256	52.101
82.826	62.69	57.968	9.52	2.534	10.259	59.665
78.457	79.526	56.206	9.494	2.549	10.339	77.1
74.599	99.97	54.864	9.466	2.571	10.123	98.251
73.995	105.997	54.092	9.452	2.588	9.376	104.323
75.293	93.027	53.853	9.453	2.6	7.82	90.679
76.032	71.258	53.977	9.467	2.612	5.935	67.698
75.559	58.2	54.741	9.485	2.616	4.956	53.782
75.276	53.614	56.606	9.506	2.615	4.597	48.877
76.283	48.669	59.384	9.53	2.606	4.552	42.805
78.08	43.139	60.952	9.542	2.595	4.818	36.382
80.959	36.501	62.373	9.546	2.582	5.459	31.627
85.823	30.735	64.753	9.55	2.567	6.594	28.279
90.187	28.59	66.098	9.553	2.558	7.606	26.862
94.755	27.88	66.53	9.556	2.552	8.655	26.422
98.599	27.872	66.428	9.56	2.548	9.641	26.662
99.108	28.832	66.293	9.562	2.545	10.328	27.792
97.538	30.347	66.097	9.564	2.541	10.983	29.461
96.025	31.384	65.69	9.565	2.539	11.334	30.544
95.438	32.039	65.34	9.565	2.537	11.425	31.15
93.625	32.725	65.191	9.563	2.536	11.294	31.687
91.025	33.148	65.184	9.561	2.535	11.127	31.952
88.26	33.417	65.322	9.558	2.532	11.108	32.046
86.091	33.747	65.7	9.549	2.527	11.13	32.13
85.574	34.084	66.191	9.539	2.522	11.057	32.255
