孔隙度	_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
9.121	93.499	36.045	64.727	9.684	2.499	11.976	33.483
8.27	94.34	38.671	63.223	9.651	2.489	11.664	35.661
6.53	96.132	42.064	63.656	9.625	2.478	11.286	38.316
8.43	95.715	44.991	64.259	9.613	2.475	10.969	40.492
8.11	92.477	46.84	65.171	9.603	2.478	10.746	41.717
8.2	87.856	48.307	64.963	9.592	2.488	10.623	42.416
8.9	90.11	47.337	63.905	9.594	2.497	10.048	41.284
8.62	93.995	44.45	63.551	9.606	2.504	9.606	38.733
7.92	94.12	47.433	61.935	9.606	2.51	9.777	39.736
6.37	91.584	54.47	60.949	9.583	2.514	10.08	45.066
2.67	86.224	58.346	59.488	9.542	2.526	10.256	53.327
1.7	81.247	68.773	57.331	9.511	2.539	10.288	65.965
1.53	74.719	98.769	55.018	9.469	2.568	10.272	97.041
1.53	75.027	100.85	53.808	9.448	2.596	8.497	98.938
2.19	75.683	60.206	53.925	9.476	2.616	5.113	55.928
6.87	75.276	53.614	56.606	9.506	2.615	4.597	48.877
8.9	76.933	45.784	60.386	9.54	2.6	4.563	38.277
8.64	81.159	36.265	62.471	9.546	2.581	5.506	31.49
9.35	92.203	28.277	66.289	9.554	2.555	8.069	26.668
8.34	96.306	31.071	65.857	9.565	2.54	11.29	30.254
8.17	95.364	32.067	65.334	9.565	2.537	11.42	31.172
8.24	92.235	33.03	65.124	9.562	2.536	11.135	31.911
9.19	88.603	33.365	65.262	9.559	2.533	11.105	32.033
9.19	85.584	34.485	66.564	9.532	2.518	10.796	32.466
8.302	86.63	35.928	66.67	9.526	2.51	9.391	33.344
8.343	88.159	36.716	66.441	9.54	2.51	9.069	33.844
7.551	89.582	37.393	65.703	9.56	2.514	9.122	34.189
7.644	89.575	35.95	65.45	9.568	2.517	9.471	32.591
8.713	89.962	34.055	65.689	9.562	2.518	9.439	30.85
8.828	90.581	32.249	66.35	9.557	2.517	9.167	29.244
8.739	89.376	31.388	66.951	9.544	2.52	8.851	28.455
9.058	88.104	31.18	66.963	9.539	2.522	8.902	28.216
9.5	88.882	31.02	66.828	9.559	2.525	9.243	28.017
9.448	91.646	31.26	66.248	9.588	2.53	9.482	28.18
7.898	92.486	32.501	65.587	9.58	2.535	9.905	29.166
7.825	92.768	33.701	65.33	9.568	2.542	10.604	30.071
8.136	94.719	33.862	65.356	9.552	2.548	11.06	29.993
