预测标签,深度
5,3166.5
5,3166.625
5,3166.75
5,3166.875
5,3167.0
5,3167.125
5,3167.25
5,3167.375
5,3167.5
5,3167.625
5,3167.75
5,3167.875
5,3168.0
5,3168.125
5,3168.25
5,3168.375
5,3168.5
5,3168.625
5,3168.75
5,3168.875
5,3169.0
5,3169.125
5,3169.25
5,3169.375
5,3169.5
5,3169.625
5,3169.75
5,3169.875
5,3170.0
5,3170.125
4,3170.25
5,3170.375
5,3170.5
5,3170.625
5,3170.75
5,3170.875
7,3171.0
7,3171.125
7,3171.25
7,3171.375
7,3171.5
7,3171.625
7,3171.75
7,3171.875
5,3172.0
5,3172.125
5,3172.25
5,3172.375
5,3172.5
5,3172.625
5,3172.75
5,3172.875
5,3173.0
5,3173.125
5,3173.25
5,3173.375
5,3173.5
5,3173.625
5,3173.75
4,3173.875
5,3174.0
5,3174.125
5,3174.25
5,3174.375
5,3174.5
5,3174.625
5,3174.75
5,3174.875
5,3175.0
5,3175.125
5,3175.25
4,3175.375
4,3175.5
4,3175.625
3,3175.75
3,3175.875
4,3176.0
4,3176.125
4,3176.25
4,3176.375
3,3176.5
5,3176.625
5,3176.75
5,3176.875
5,3177.0
5,3177.125
5,3177.25
5,3177.375
4,3177.5
4,3177.625
4,3177.75
4,3177.875
4,3178.0
4,3178.125
4,3178.25
4,3178.375
4,3178.5
4,3178.625
4,3178.75
3,3178.875
3,3179.0
4,3179.125
4,3179.25
4,3179.375
4,3179.5
4,3179.625
4,3179.75
4,3179.875
4,3180.0
4,3180.125
6,3180.25
4,3180.375
3,3180.5
3,3180.625
3,3180.75
5,3180.875
3,3181.0
3,3181.125
3,3181.25
3,3181.375
4,3181.5
4,3181.625
5,3181.75
3,3181.875
3,3182.0
3,3182.125
3,3182.25
5,3182.375
5,3182.5
5,3182.625
4,3182.75
4,3182.875
5,3183.0
5,3183.125
5,3183.25
6,3183.375
6,3183.5
5,3183.625
5,3183.75
5,3183.875
5,3184.0
5,3184.125
5,3184.25
5,3184.375
5,3184.5
5,3184.625
5,3184.75
5,3184.875
5,3185.0
5,3185.125
5,3185.25
5,3185.375
7,3185.5
5,3185.625
5,3185.75
5,3185.875
5,3186.0
5,3186.125
5,3186.25
5,3186.375
5,3186.5
5,3186.625
5,3186.75
6,3186.875
6,3187.0
5,3187.125
5,3187.25
5,3187.375
5,3187.5
5,3187.625
5,3187.75
5,3187.875
5,3188.0
5,3188.125
5,3188.25
5,3188.375
5,3188.5
5,3188.625
5,3188.75
5,3188.875
5,3189.0
5,3189.125
5,3189.25
5,3189.375
5,3189.5
5,3189.625
5,3189.75
5,3189.875
5,3190.0
5,3190.125
5,3190.25
5,3190.375
5,3190.5
5,3190.625
7,3190.75
6,3190.875
6,3191.0
6,3191.125
6,3191.25
7,3191.375
5,3191.5
5,3191.625
5,3191.75
5,3191.875
5,3192.0
5,3192.125
5,3192.25
6,3192.375
5,3192.5
5,3192.625
5,3192.75
5,3192.875
5,3193.0
6,3193.125
6,3193.25
7,3193.375
7,3193.5
7,3193.625
7,3193.75
7,3193.875
7,3194.0
7,3194.125
5,3194.25
5,3194.375
5,3194.5
5,3194.625
7,3194.75
7,3194.875
6,3195.0
6,3195.125
6,3195.25
7,3195.375
7,3195.5
7,3195.625
7,3195.75
7,3195.875
6,3196.0
7,3196.125
4,3196.25
