预测标签,深度
6,2981.5
6,2981.625
6,2981.75
6,2981.875
6,2982.0
5,2982.125
4,2982.25
4,2982.375
7,2982.5
7,2982.625
7,2982.75
4,2982.875
4,2983.0
4,2983.125
5,2983.25
4,2983.375
4,2983.5
4,2983.625
5,2983.75
4,2983.875
4,2984.0
4,2984.125
4,2984.25
4,2984.375
6,2984.5
7,2984.625
7,2984.75
7,2984.875
6,2985.0
6,2985.125
6,2985.25
4,2985.375
4,2985.5
4,2985.625
4,2985.75
4,2985.875
4,2986.0
4,2986.125
6,2986.25
6,2986.375
6,2986.5
6,2986.625
6,2986.75
6,2986.875
6,2987.0
6,2987.125
6,2987.25
6,2987.375
6,2987.5
5,2987.625
5,2987.75
6,2987.875
6,2988.0
6,2988.125
6,2988.25
5,2988.375
5,2988.5
6,2988.625
6,2988.75
6,2988.875
6,2989.0
4,2989.125
4,2989.25
4,2989.375
4,2989.5
6,2989.625
6,2989.75
6,2989.875
5,2990.0
5,2990.125
5,2990.25
5,2990.375
5,2990.5
5,2990.625
5,2990.75
5,2990.875
5,2991.0
5,2991.125
5,2991.25
4,2991.375
4,2991.5
4,2991.625
4,2991.75
4,2991.875
5,2992.0
5,2992.125
5,2992.25
5,2992.375
5,2992.5
5,2992.625
5,2992.75
4,2992.875
4,2993.0
3,2993.125
4,2993.25
4,2993.375
4,2993.5
5,2993.625
5,2993.75
5,2993.875
5,2994.0
5,2994.125
5,2994.25
5,2994.375
4,2994.5
4,2994.625
4,2994.75
5,2994.875
5,2995.0
5,2995.125
5,2995.25
5,2995.375
5,2995.5
5,2995.625
5,2995.75
5,2995.875
6,2996.0
6,2996.125
6,2996.25
6,2996.375
6,2996.5
6,2996.625
6,2996.75
6,2996.875
6,2997.0
6,2997.125
6,2997.25
6,2997.375
6,2997.5
6,2997.625
6,2997.75
6,2997.875
6,2998.0
6,2998.125
6,2998.25
6,2998.375
6,2998.5
6,2998.625
6,2998.75
6,2998.875
6,2999.0
6,2999.125
5,2999.25
6,2999.375
6,2999.5
6,2999.625
6,2999.75
6,2999.875
6,3000.0
6,3000.125
6,3000.25
6,3000.375
6,3000.5
6,3000.625
6,3000.75
6,3000.875
6,3001.0
6,3001.125
6,3001.25
6,3001.375
6,3001.5
6,3001.625
6,3001.75
6,3001.875
1,3002.0
1,3002.125
1,3002.25
5,3002.375
5,3002.5
5,3002.625
5,3002.75
4,3002.875
4,3003.0
7,3003.125
7,3003.25
7,3003.375
7,3003.5
6,3003.625
6,3003.75
4,3003.875
4,3004.0
4,3004.125
4,3004.25
4,3004.375
4,3004.5
4,3004.625
4,3004.75
4,3004.875
4,3005.0
5,3005.125
5,3005.25
5,3005.375
5,3005.5
5,3005.625
5,3005.75
6,3005.875
6,3006.0
6,3006.125
6,3006.25
6,3006.375
6,3006.5
6,3006.625
5,3006.75
5,3006.875
6,3007.0
6,3007.125
6,3007.25
6,3007.375
6,3007.5
7,3007.625
7,3007.75
7,3007.875
6,3008.0
7,3008.125
7,3008.25
7,3008.375
7,3008.5
6,3008.625
7,3008.75
7,3008.875
7,3009.0
7,3009.125
7,3009.25
6,3009.375
6,3009.5
7,3009.625
7,3009.75
7,3009.875
7,3010.0
4,3010.125
4,3010.25
7,3010.375
7,3010.5
7,3010.625
7,3010.75
7,3010.875
7,3011.0
7,3011.125
7,3011.25
7,3011.375
7,3011.5
7,3011.625
7,3011.75
7,3011.875
7,3012.0
